domain,system,question_no,question_id,prompt_type,thinking_level,input_tokens_mean,input_tokens_std,input_tokens_var,input_tokens_count,output_tokens_mean,output_tokens_std,output_tokens_var,output_tokens_count,reasoning_tokens_mean,reasoning_tokens_std,reasoning_tokens_var,reasoning_tokens_count,cached_tokens_mean,cached_tokens_std,cached_tokens_var,cached_tokens_count,tool_tokens_mean,tool_tokens_std,tool_tokens_var,tool_tokens_count,total_tokens_mean,total_tokens_std,total_tokens_var,total_tokens_count,cost_usd_mean,cost_usd_std,cost_usd_var,cost_usd_count,latency_s_mean,latency_s_std,latency_s_var,latency_s_count
cyber_loghub,Windows,2,q2_wcp,full,high,121779.0,0.0,0.0,3,263.0,4.0,16.0,3,869.3333333333334,275.32041939045007,75801.33333333333,3,76444.0,66202.44596689763,4382763852.0,3,0.0,0.0,0.0,3,122911.33333333333,273.1763777000756,74625.33333333435,3,0.11954666666666668,0.11639931467295386,0.013548800456333332,3,12.568,2.291858852547425,5.252617000000001,3
cyber_loghub,Windows,2,q2_wcp,full,low,121779.0,0.0,0.0,3,242.0,2.0,4.0,3,598.6666666666666,38.55299383100271,1486.3333333333328,3,38218.666666666664,66196.67246420574,4381999445.333334,3,0.0,0.0,0.0,3,122619.66666666667,40.37738641038324,1630.3333333334012,3,0.1848523333333333,0.11934894147973552,0.014244169832333333,3,10.915666666666667,1.6954864592008188,2.8746743333333296,3
cyber_loghub,Windows,2,q2_wcp,garbage,high,122012.0,0.0,0.0,3,199.33333333333334,81.92883090422646,6712.333333333333,3,2103.6666666666665,179.11262750943428,32081.333333333354,3,38222.0,66202.44596689763,4382763852.0,3,0.0,0.0,0.0,3,124315.0,256.1503464764395,65613.0,3,0.20286033333333334,0.11637600568989011,0.013543374700333335,3,25.484666666666666,7.895401974145033,62.337372333333285,3
cyber_loghub,Windows,2,q2_wcp,garbage,low,122012.0,0.0,0.0,3,276.3333333333333,21.571586249817923,465.3333333333337,3,1104.6666666666667,280.1880321022533,78505.33333333334,3,38218.666666666664,66196.67246420574,4381999445.333334,3,0.0,0.0,0.0,3,123393.0,276.22454633866266,76300.0,3,0.19180233333333332,0.12013152958459049,0.01443158440033334,3,18.12966666666667,4.720517167994767,22.28328233333333,3
cyber_loghub,Windows,3,q3_manifest,context,high,1446.0,0.0,0.0,3,684.3333333333334,53.30415868704178,2841.3333333333317,3,1324.3333333333333,20.550750189064452,422.3333333333326,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3454.6666666666665,41.765216787816854,1744.3333333333387,3,0.026996000000000003,0.0005011826014538029,2.5118400000000144e-07,3,21.087333333333333,2.9875277962444695,8.925322333333337,3
cyber_loghub,Windows,3,q3_manifest,context,low,1446.0,0.0,0.0,3,618.0,0.0,0.0,3,662.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,2726.0,0.0,0.0,3,0.018252,0.0,0.0,3,13.094,0.11627983488120408,0.013521000000000085,3
cyber_loghub,Windows,3,q3_manifest,full,high,121785.0,0.0,0.0,3,751.3333333333334,27.934447074057744,780.3333333333331,3,1361.3333333333333,248.77566869236495,61889.33333333333,3,38222.0,66202.44596689763,4382763852.0,3,0.0,0.0,0.0,3,123897.66666666667,273.79250050601024,74962.33333333363,3,0.20012233333333332,0.12005518729456603,0.01441324799633333,3,27.216333333333335,2.889045747878239,8.346585333333334,3
cyber_loghub,Windows,3,q3_manifest,full,low,121785.0,0.0,0.0,3,318.6666666666667,39.25981830489456,1541.3333333333337,3,577.3333333333334,6.3508529610858755,40.33333333333323,3,38218.666666666664,66196.67246420574,4381999445.333334,3,0.0,0.0,0.0,3,122681.0,32.90896534380867,1083.0,3,0.18552833333333332,0.119352069694385,0.014244916540333333,3,23.523,11.576014901510796,134.004121,3
cyber_loghub,Windows,3,q3_manifest,garbage,high,122018.0,0.0,0.0,3,580.3333333333334,96.39674959942027,9292.333333333332,3,1000.0,254.85486065602123,64951.0,3,38222.0,66202.44596689763,4382763852.0,3,0.0,0.0,0.0,3,123598.33333333333,317.54894635840736,100837.33333333467,3,0.19420033333333334,0.11535400893048034,0.013306547376333338,3,21.917,2.113478885629098,4.466793000000013,3
cyber_loghub,Windows,3,q3_manifest,garbage,low,122018.0,0.0,0.0,3,440.3333333333333,12.220201853215574,149.33333333333337,3,477.0,105.70241246064349,11173.0,3,38218.666666666664,66196.67246420574,4381999445.333334,3,0.0,0.0,0.0,3,122935.33333333333,101.4018408774363,10282.33333333291,3,0.18625033333333332,0.12036317647990741,0.014487294252333336,3,14.555666666666667,2.102272659131858,4.4195503333333335,3
